Name, #Occurrences,Lemma,#Success,#Failure,#Partial,#N/A
app_nil_r,13,"forall (l:list A), l ++ [] = l",6,1,1,5
incl_app,1,,,,,
incl_appl,2,,,,,
app_length,5,"forall (l l' : list A), length (l++l') = length l + length l'",,1,,8
app_assoc,5,forall (l m n:list A) : l ++ m ++ n = (l ++ m) ++ n,,3,,2
in_app_or,6,"forall (l m:list A) (a:A), In a (l ++ m) -> In a l \/ In a m",,,,6
flat_map_concat_map,6,,,,,6
in_or_app,5,"forall (l m:list A) (a:A), In a l \/ In a m -> In a (l ++ m)",,,,5
rev_involutive,5,"forall (l:list A), rev (rev l) = l",,,,
map_length,3,"forall l, length (map l) = length l",,,,
Add_inv,7,,,,,
Forall_cons_iff,7,,,,,
in_split,6,,,,,
rev_app_distr,5,"forall x y:list A, rev (x ++ y) = rev y ++ rev x",,,,
rev_length,4,"forall l, length (rev l) = length l",,,,
firstn_all,2,"forall l, firstn (length l) l = l",,,,
firstn_skipn,1,"forall n l, firstn n l ++ skipn n l = l",,,,
Add_app,5,"forall a l1 l2, Add a (l1++l2) (l1++a::l2)",,,,
app_eq_nil,5,forall (l l':list A) : l ++ l' = [] -> l = [] /\ l' = [],,,,
filter_In,5,,,,,
firstn_nil,4,firstn n [] = [],,,,
skipn_all,1,"forall l, skipn (length l) l = nil",,,,
app_comm_cons,4,,,,,
in_cons,4,,,,,
remove_In,4,,,,,
in_map_iff,4,,,,,
incl_refl,4,,,,,
incl_appr,4,,,,,
NoDup_Add,4,,,,,
Exists_nil,4,,,,,
Forall_nil_iff,4,,,,,
app_assoc_reverse,3,,,,,
in_nil,3,,,,,
count_occ_In,3,,,,,
count_occ_not_In,3,,,,,
nth_error_In,3,,,,,
nth_error_Some,3,,,,,
last_last,3,,,,,
in_rev,3,,,,,
rev_append_rev,3,,,,,
map_cons,3,,,,,
lel_cons,3,,,,,
incl_tl,3,,,,,
incl_tran,3,,,,,
firstn_all2,3,,,,,
Add_length,3,,,,,
NoDup_remove_1,3,,,,,
nodup_In,3,,,,,
Forall_inv,3,,,,,
nil_cons,2,,,,,
hd_error_nil,2,,,,,
hd_error_cons,2,,,,,
app_cons_not_nil,2,,,,,
app_nil_end,2,,,,,
in_eq,2,,,,,
in_app_iff,2,,,,,
in_elt,2,,,,,
in_inv,2,,,,,
nth_overflow,2,,,,,
In_nth_error,2,,,,,
removelast_last,2,,,,,
remove_cons,2,,,,,
in_in_remove,2,,,,,
remove_length_le,2,,,,,
count_occ_bound,2,,,,,
concat_nil,2,,,,,
concat_app,2,,,,,
forallb_filter,2,,,,,
partition_as_filter,2,,,,,
lel_refl,2,,,,,
lel_cons_cons,2,,,,,
lel_nil,2,,,,,
incl_nil_l,2,,,,,
incl_map,2,,,,,
firstn_cons,2,,,,,
skipn_nil,2,,,,,
skipn_cons,2,,,,,
skipn_all2,2,,,,,
firstn_length,2,,,,,
NoDup_nodup,2,,,,,
seq_length,2,,,,,
incl_Forall,2,,,,,
count_occ_repeat_eq,2,,,,,
destruct_list,1,,,,,
app_nil_l,1,,,,,
Forall_inv_tail,1,,,,,
Forall2_refl,1,,,,,
hd_error_some_nil,1,,,,,
last_length,1,,,,,
nth_error_None,1,,,,,
remove_remove_eq,1,,,,,
remove_length_lt,1,,,,,
count_occ_nil,1,,,,,
rev_eq_app,1,,,,,
rev_alt,1,,,,,
concat_cons,1,,,,,
list_eq_dec,1,,,,,
count_occ_rev,1,,,,,
map_rev,1,,,,,
map_eq_nil,1,,,,,
forallb_filter_id,1,,,,,
find_some,1,,,,,
find_none,1,,,,,
filter_length_forallb,1,,,,,
remove_alt,1,,,,,
lel_trans,1,,,,,
lel_tail,1,,,,,
incl_l_nil,1,,,,,
incl_filter,1,,,,,
firstn_O,1,,,,,
firstn_le_length,1,,,,,
skipn_O,1,,,,,
skipn_skipn,1,,,,,
NoDup_remove_2,1,,,,,
NoDup_app_remove_l,1,,,,,
NoDup_app_remove_r,1,,,,,
NoDup_rev,1,,,,,
NoDup_filter,1,,,,,
nodup_incl,1,,,,,
nodup_inv,1,,,,,
NoDup_map_inv,1,,,,,
cons_seq,1,,,,,
seq_NoDup,1,,,,,
seq_S,1,,,,,
Exists_rev,1,,,,,
incl_Exists,1,,,,,
Forall_elt,1,,,,,
Forall_rev,1,,,,,
ForallPairs_ForallOrdPairs,1,,,,,
count_occ_repeat_neq,1,,,,,
count_occ_unique,1,,,,,
