#` Goal` Abducts 1` Abducts 2` Abducts 3` Abducts 4` Abducts 5` Abducts 6` Abducts 7` Abducts 8` Abducts 9` Abducts 10` Abducts 11` Abducts 12 
1`  pos_sub p p = 0`````(pos_sub p p) = p && (pos_sub -2 3) = p && p + p = p````(pos_sub p p) = p && (pos_sub -2 3) = p && p + p = p````
``````(pos_sub p p) = p && p + p = p````(pos_sub p p) = p && p + p = p````
``````(pos_sub (pos_sub p p) p) = -1 && (pos_sub p p) + p = -1 && (pos_sub 6 -6) + p = -1 && (pos_sub p 7) + p = -1 && (pos_sub 3 -3) = -1 && p = -1````(pos_sub (pos_sub p p) p) = -1 && (pos_sub p p) + p = -1 && (pos_sub 6 -6) + p = -1 && (pos_sub p 7) + p = -1 && (pos_sub 3 -3) = -1 && p = -1````
2`  (p < q)%positive -> pos_sub p q = neg (q - p)```p = (Pos.sub p p) && p = (pos_sub p p) && p = 0 && p = q``````````
````p = (Pos.sub q p) && p = (pos_sub p q) && q = 1 && p = 0``````````
````p = (Pos.sub q p) && p = (pos_sub p q) && p = 0 && pos_sub = Pos.sub``````````
3`  (q < p)%positive -> pos_sub p q = pos (p - q)`````````````
4`  n + 0 = n`````````````
5`  n * 0 = 0`````````````
6`  1 * n = n`````````````
7`  n + m = m + n`````````````
8`  - (n + m) = - n + - m`````````````
9`  - n = - m -> n = m`````````````
10`  n + - n = 0`````````````
11`  n * - m = - (n * m)`````````````
12`  1 = succ 0`````````````
13`  2 = succ 1`````````````
14`  0 + n = n`````````````
15`  succ n + m = succ (n + m)`m = 0 && m = n``m = 0``m + n = n``m + n = -1 && -1 = n``m + n = n``m + n = -1 && -1 = n``
``m = 0``(succ n) <= n && (succ 1) <= 1 && 1 <= (succ 1) && n <= (succ n) && m <= 1 - n && 1 <= m + n``m + n = -1 && (succ m) = -1 && (succ n) = n && n + m = m``m + n = n``m + n = -1 && (succ m) = -1 && (succ n) = n && n + m = m``m + n = n``
