Option, # goals, # get-abd successes, # get-abd success %, # smt successes, #smt sucess %, # non-bool equality failures, # abd reconstructr failures, # atom unexp type failures, # non-linear failures
1,174,27,=27/174,40,=40/174,56,40,0,11
2,174,1,=1/174,40,=40/174,56,66,0,11
3,174,27,=27/174,40,=40/174,56,40,0,11
4,174,3,=3/174,40,=40/174,56,64,0,11
5,174,25,=25/174,40,=40/174,56,42,0,11
6,174,3,=3/174,40,=40/174,56,64,0,11
7,174,22,=22/174,40,=40/174,56,45,0,11
8,174,1,=1/174,40,=40/174,56,66,0,11
9,174,25,=25/174,40,=40/174,56,42,0,11
10,174,3,=3/174,40,=40/174,56,64,0,11
11,174,22,=22/174,40,=40/174,56,45,0,11
12,174,1,=1/174,40,=40/174,56,66,0,11
