Option, # goals, # get-abd successes, # get-abd success %, # smt successes, #smt sucess %, # non-bool equality failures, # abd reconstructr failures, # atom unexp type failures, # non-linear failures,,,,
1,90,19,21.11%,33,36.67%,3,7,0,28,,,,
2,90,14,15.56%,33,36.67%,3,12,0,28,,,,
3,90,22,24.44%,33,36.67%,3,4,0,28,,,,
4,90,15,16.67%,33,36.67%,3,11,0,28,,,,
5,90,20,22.22%,33,36.67%,3,6,0,28,,,,
6,90,13,14.44%,33,36.67%,3,13,0,28,,,,
7,90,23,25.56%,33,36.67%,3,3,0,28,,,,
8,90,16,17.78%,33,36.67%,3,10,0,28,,,,
9,90,20,22.22%,33,36.67%,3,6,0,28,,,,
10,90,13,14.44%,33,36.67%,3,13,0,28,,,,
11,90,23,25.56%,33,36.67%,3,3,0,28,,,,
12,90,16,17.78%,33,36.67%,3,10,0,28,,,,
,,,,,,,,,,,,,
Grammar,"No ITE, No Or",,,,,,,,,,,,
,,,,,,,,,,,,,
#, Goal, Abducts 1, Abducts 2, Abducts 3, Abducts 4, Abducts 5, Abducts 6, Abducts 7, Abducts 8, Abducts 9, Abducts 10, Abducts 11, Abducts 12 
1,  n <= m -> Z.succ m > n,m = (Z.succ m) && m = 2 && n <= 1,m = (Z.succ m) - 1,m = (Z.succ m) && n <= 0 && m = 1,m = (Z.succ m) - 1,-2 + m = n && m <= -1 && (Z.succ m) = -1,m <= (Z.succ m) + -2,(Z.succ -2) = -1 && (not m = n) && m = -1 && (Z.succ m) = -1,m <= (Z.succ m) + -1,-2 + m = n && m <= -1 && (Z.succ m) = -1,m <= (Z.succ m) + -2,(Z.succ -2) = -1 && (not m = n) && m = -1 && (Z.succ m) = -1,m <= (Z.succ m) + -1
,,m <= (Z.succ m) && m = 2 && 1 = n,m <= (Z.succ m) - 1,m = (Z.succ 0) && m = (Z.succ m) && m = 3 && n = 1,m <= (Z.succ m) - 1,m + m = n && -1 = m && (Z.succ m) = -1,n <= (Z.succ m) + -2,(Z.succ -2) = -1 && (not m = n) && m <= -1 && (Z.succ m) = -1,n <= (Z.succ m) + -1,m + m = n && -1 = m && (Z.succ m) = -1,n <= (Z.succ m) + -2,(Z.succ -2) = -1 && (not m = n) && m <= -1 && (Z.succ m) = -1,n <= (Z.succ m) + -1
,,m = (Z.succ m) && m = 1 && m = m + n,n = (Z.succ m) - 1,m <= (Z.succ m) && m = 2 && n = 1,n = (Z.succ m) - 1,-2 + m = n && (Z.succ m) = -1 && n + m = n,(Z.succ m) + -1 = n,(not m = n) && m = -1 && (Z.succ m) = -1,(Z.succ m) + -1 + n = m + m,-2 + m = n && (Z.succ m) = -1 && n + m = n,(Z.succ m) + -1 = n,(not m = n) && m = -1 && (Z.succ m) = -1,(Z.succ m) + -1 + n = m + m
2,  n < m \/ n = m \/ n > m,,,,,,,,,,,,
3,  decidable (Zne n m),,,,,,,,,,,,
4,  decidable (n > m),,,,,,,,,,,,
5,  decidable (n >= m),,,,,,,,,,,,
6,  n <> m -> n < m \/ m < n,,,,,,,,,,,,
7,  n <= m -> ~ m < n,,,,,,,,,,,,
8,  n < m -> ~ m <= n,,,,,,,,,,,,
9,  n <= m -> ~ n > m,,,,,,,,,,,,
10,  n > m -> ~ n <= m,,,,,,,,,,,,
11,  ~ n >= m -> n < m,,,,,,,,,,,,
12,  ~ n < m -> n >= m,,,,,,,,,,,,
13,  ~ n > m -> n <= m,,,,,,,,,,,,
14,  ~ n <= m -> n > m,,,,,,,,,,,,
15,  n > m -> ~ m > n,,,,,,,,,,,,
16,  ~ n > n,,,,,,,,,,,,
17,  n <= m -> n < m \/ n = m,,,,,,,,,,,,
18,  n > m -> m > p -> n > p,,,,,,,,,,,,
19,  m <= n -> m > p -> n > p,,,,,,,,,,,,
20,  n > m -> p <= m -> n > p,,,,,,,,,,,,
21,  n >= m -> m >= p -> n >= p,,,,,,,,,,,,
22,  m <= n -> Z.succ m <= Z.succ n,n = m,n = m,n = m,n = m,n <= m,,-1 <= m && n <= -1,m = n,n <= m,,-1 <= m && n <= -1,m = n
,,n <= m,n <= m,n = 0 && n <= m,n <= m,n <= (Z.succ n) && (Z.succ m) <= m && m <= -3 + n && (Z.succ -1) = n,,(Z.succ n) = -1 && n <= m,n <= m,n <= (Z.succ n) && (Z.succ m) <= m && m <= -3 + n && (Z.succ -1) = n,,(Z.succ n) = -1 && n <= m,n <= m
,,n = (Z.succ 1) && n = (Z.succ 0) && n = (Z.succ n) && n = 2 && 1 = m,(Z.succ n) = (Z.succ m),n <= m,(Z.succ n) = (Z.succ m),n <= (Z.succ n) && (Z.succ m) <= m && (Z.succ -1) = n,,3 + m = -1 && n = m,(Z.succ m) = (Z.succ n),n <= (Z.succ n) && (Z.succ m) <= m && (Z.succ -1) = n,,3 + m = -1 && n = m,(Z.succ m) = (Z.succ n)
