Goal, Abducts 1, Abducts 2, Abducts 3, Abducts 4, Abducts 5, Abducts 6, Abducts 7, Abducts 8, Abducts 9, Abducts 10, Abducts 11, Abducts 12 
,,,,,,,,,,,,,
  n <= m -> Z.succ m > n,m = (Z.succ m) && m = 2 && n <= 1 | m <= (Z.succ m) && m = 2 && 1 = n | m = (Z.succ m) && m = 1 && m = m + n,m = (Z.succ m) - 1 | m <= (Z.succ m) - 1,m = (Z.succ m) && n <= 0 && m = 1 | m = (Z.succ 0) && m = (Z.succ m) && m = 3 && n = 1,m = (Z.succ m) - 1 | m <= (Z.succ m) - 1,-2 + m = n && m <= -1 && (Z.succ m) = -1 | m + m = n && -1 = m && (Z.succ m) = -1,m <= (Z.succ m) + -2 | n <= (Z.succ m) + -2,(Z.succ -2) = -1 && (not m = n) && m = -1 && (Z.succ m) = -1 | (Z.succ -2) = -1 && (not m = n) && m <= -1 && (Z.succ m) = -1,m <= (Z.succ m) + -1 | n <= (Z.succ m) + -1,-2 + m = n && m <= -1 && (Z.succ m) = -1 | m + m = n && -1 = m && (Z.succ m) = -1,m <= (Z.succ m) + -2 | n <= (Z.succ m) + -2,(Z.succ -2) = -1 && (not m = n) && m = -1 && (Z.succ m) = -1 | (Z.succ -2) = -1 && (not m = n) && m <= -1 && (Z.succ m) = -1,m <= (Z.succ m) + -1 | n <= (Z.succ m) + -1,
  n < m \/ n = m \/ n > m,,,,,,,,,,,,,
  decidable (Zne n m),,,,,,,,,,,,,
  decidable (n > m),,,,,,,,,,,,,
  decidable (n >= m),,,,,,,,,,,,,
  n <> m -> n < m \/ m < n,,,,,,,,,,,,,
  n <= m -> ~ m < n,,,,,,,,,,,,,
  n < m -> ~ m <= n,,,,,,,,,,,,,
  n <= m -> ~ n > m,,,,,,,,,,,,,
  n > m -> ~ n <= m,,,,,,,,,,,,,
  ~ n >= m -> n < m,,,,,,,,,,,,,
  ~ n < m -> n >= m,,,,,,,,,,,,,
  ~ n > m -> n <= m,,,,,,,,,,,,,
  ~ n <= m -> n > m,,,,,,,,,,,,,
  n > m -> ~ m > n,,,,,,,,,,,,,
  ~ n > n,,,,,,,,,,,,,
  n <= m -> n < m \/ n = m,,,,,,,,,,,,,
  n > m -> m > p -> n > p,,,,,,,,,,,,,
  m <= n -> m > p -> n > p,,,,,,,,,,,,,
  n > m -> p <= m -> n > p,,,,,,,,,,,,,
  n >= m -> m >= p -> n >= p,,,,,,,,,,,,,
  m <= n -> Z.succ m <= Z.succ n,n = m | n <= m,n = m | n <= m,n = m | n = 0 && n <= m,n = m | n <= m,n <= m | n <= (Z.succ n) && (Z.succ m) <= m && m <= -3 + n && (Z.succ -1) = n,,,m = n | n <= m,n <= m | n <= (Z.succ n) && (Z.succ m) <= m && m <= -3 + n && (Z.succ -1) = n,,,m = n | n <= m,
